,Nombre de los Candidatos,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,1. GABRIEL BORIC FONT,CS,41,"30,37%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,1V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,27,"20,00%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,1V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,32,"23,70%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,1V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,10,"7,41%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,1V
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,48%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,1V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,7,"5,19%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,1V
19,7. FRANCO PARISI FERNANDEZ,PDG,16,"11,85%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,1V
22,Válidamente Emitidos,135,"100,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,1V
23,Votos Nulos,0,"0,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,1V
24,Votos en Blanco,0,"0,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,1V
25,Total Votación,135,"100,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,1V
1,1. GABRIEL BORIC FONT,CS,32,"24,06%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,2V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,32,"24,06%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,2V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,33,"24,81%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,2V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,9,"6,77%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,2V
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,50%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,2V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,10,"7,52%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,2V
19,7. FRANCO PARISI FERNANDEZ,PDG,15,"11,28%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,2V
22,Válidamente Emitidos,133,"96,38%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,2V
23,Votos Nulos,2,"1,45%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,2V
24,Votos en Blanco,3,"2,17%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,2V
25,Total Votación,138,"100,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,2V
1,1. GABRIEL BORIC FONT,CS,45,"27,95%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,3V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,29,"18,01%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,3V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,23,"14,29%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,3V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,16,"9,94%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,3V
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,24%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,3V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,16,"9,94%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,3V
19,7. FRANCO PARISI FERNANDEZ,PDG,30,"18,63%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,3V
22,Válidamente Emitidos,161,"98,17%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,3V
23,Votos Nulos,2,"1,22%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,3V
24,Votos en Blanco,1,"0,61%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,3V
25,Total Votación,164,"100,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,3V
1,1. GABRIEL BORIC FONT,CS,43,"27,39%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,4V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,33,"21,02%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,4V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,36,"22,93%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,4V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,14,"8,92%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,4V
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,27%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,4V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,13,"8,28%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,4V
19,7. FRANCO PARISI FERNANDEZ,PDG,16,"10,19%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,4V
22,Válidamente Emitidos,157,"98,74%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,4V
23,Votos Nulos,2,"1,26%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,4V
24,Votos en Blanco,0,"0,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,4V
25,Total Votación,159,"100,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,4V
1,1. GABRIEL BORIC FONT,CS,50,"30,86%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,5V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,30,"18,52%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,5V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,38,"23,46%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,5V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,14,"8,64%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,5V
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,23%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,5V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,9,"5,56%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,5V
19,7. FRANCO PARISI FERNANDEZ,PDG,19,"11,73%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,5V
22,Válidamente Emitidos,162,"98,18%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,5V
23,Votos Nulos,3,"1,82%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,5V
24,Votos en Blanco,0,"0,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,5V
25,Total Votación,165,"100,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,5V
1,1. GABRIEL BORIC FONT,CS,46,"30,67%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,6V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,22,"14,67%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,6V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,35,"23,33%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,6V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,14,"9,33%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,6V
13,5. EDUARDO ARTES BRICHETTI,UPA,3,"2,00%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,6V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,10,"6,67%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,6V
19,7. FRANCO PARISI FERNANDEZ,PDG,20,"13,33%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,6V
22,Válidamente Emitidos,150,"98,04%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,6V
23,Votos Nulos,2,"1,31%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,6V
24,Votos en Blanco,1,"0,65%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,6V
25,Total Votación,153,"100,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,6V
1,1. GABRIEL BORIC FONT,CS,55,"34,81%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,7V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,24,"15,19%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,7V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,30,"18,99%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,7V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,12,"7,59%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,7V
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,27%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,7V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,11,"6,96%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,7V
19,7. FRANCO PARISI FERNANDEZ,PDG,24,"15,19%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,7V
22,Válidamente Emitidos,158,"97,53%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,7V
23,Votos Nulos,1,"0,62%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,7V
24,Votos en Blanco,3,"1,85%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,7V
25,Total Votación,162,"100,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,7V
1,1. GABRIEL BORIC FONT,CS,43,"27,74%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,8V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,27,"17,42%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,8V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,23,"14,84%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,8V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,16,"10,32%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,8V
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,29%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,8V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,18,"11,61%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,8V
19,7. FRANCO PARISI FERNANDEZ,PDG,26,"16,77%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,8V
22,Válidamente Emitidos,155,"98,73%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,8V
23,Votos Nulos,2,"1,27%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,8V
24,Votos en Blanco,0,"0,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,8V
25,Total Votación,157,"100,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,8V
1,1. GABRIEL BORIC FONT,CS,47,"30,72%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,9V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,27,"17,65%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,9V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,23,"15,03%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,9V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,9,"5,88%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,9V
13,5. EDUARDO ARTES BRICHETTI,UPA,3,"1,96%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,9V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,20,"13,07%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,9V
19,7. FRANCO PARISI FERNANDEZ,PDG,24,"15,69%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,9V
22,Válidamente Emitidos,153,"97,45%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,9V
23,Votos Nulos,2,"1,27%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,9V
24,Votos en Blanco,2,"1,27%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,9V
25,Total Votación,157,"100,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,9V
1,1. GABRIEL BORIC FONT,CS,45,"29,61%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,10V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,22,"14,47%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,10V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,29,"19,08%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,10V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,20,"13,16%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,10V
13,5. EDUARDO ARTES BRICHETTI,UPA,2,"1,32%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,10V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,11,"7,24%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,10V
19,7. FRANCO PARISI FERNANDEZ,PDG,23,"15,13%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,10V
22,Válidamente Emitidos,152,"99,35%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,10V
23,Votos Nulos,0,"0,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,10V
24,Votos en Blanco,1,"0,65%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,10V
25,Total Votación,153,"100,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,10V
1,1. GABRIEL BORIC FONT,CS,39,"25,49%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,11V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,31,"20,26%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,11V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,32,"20,92%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,11V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,12,"7,84%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,11V
13,5. EDUARDO ARTES BRICHETTI,UPA,5,"3,27%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,11V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,14,"9,15%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,11V
19,7. FRANCO PARISI FERNANDEZ,PDG,20,"13,07%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,11V
22,Válidamente Emitidos,153,"97,45%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,11V
23,Votos Nulos,1,"0,64%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,11V
24,Votos en Blanco,3,"1,91%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,11V
25,Total Votación,157,"100,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,11V
1,1. GABRIEL BORIC FONT,CS,49,"30,63%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,12V
4,2. JOSE ANTONIO KAST RIST,REPUBLICAN,32,"20,00%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,12V
7,3. YASNA PROVOSTE CAMPILLAY,PDC,32,"20,00%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,12V
10,4. SEBASTIAN SICHEL RAMIREZ,EVOPOLI,11,"6,88%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,12V
13,5. EDUARDO ARTES BRICHETTI,UPA,1,"0,62%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,12V
16,6. MARCO ENRIQUEZ-OMINAMI GUMUCIO,PRO,15,"9,38%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,12V
19,7. FRANCO PARISI FERNANDEZ,PDG,20,"12,50%",DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,12V
22,Válidamente Emitidos,160,"98,77%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,12V
23,Votos Nulos,1,"0,62%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,12V
24,Votos en Blanco,1,"0,62%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,12V
25,Total Votación,162,"100,00%",,DE VALPARAISO,DISTRITO 6,CABILDO,CABILDO,ESCUELA BASICA ARAUCARIA,12V
