,Lista/Pacto,Partido,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
1,AA.CHILE PODEMOS +,,23.0,"56,10%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
3,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,,3.0,"7,32%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
4,10. JUAN JOSE CLAUDIO ARCOS SRDANOVIC,PRI,3.0,"7,32%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
7,UNION DEMOCRATA INDEPENDIENTE,,10.0,"24,39%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
8,11. SANDRA AMAR MANCILLA,IND-UDI,10.0,"24,39%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
11,RENOVACION NACIONAL,,10.0,"24,39%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
12,12. ALEJANDRO JUAN KUSANOVIC GLUSEVIC,IND-RN,10.0,"24,39%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
16,AB.PARTIDO DE LA GENTE,,6.0,"14,63%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
18,PARTIDO DE LA GENTE,,6.0,"14,63%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
19,13. JESUS RODRIGO GUTIERREZ OLIVARES,PDG,4.0,"9,76%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
20,14. CARLA DANIELA AMTHAUER GONZALEZ,PDG,2.0,"4,88%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
24,AH.NUEVO PACTO SOCIAL,,1.0,"2,44%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
26,PARTIDO DEMOCRATA CRISTIANO,,1.0,"2,44%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
27,15. NINEN GOMEZ VILLEGAS,PDC,1.0,"2,44%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
30,PARTIDO SOCIALISTA DE CHILE,,0.0,"0,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
31,16. MARIA DE LOS ANGELES FLORES RODRIGUEZ,PS,0.0,"0,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
35,AN.DIGNIDAD AHORA,,0.0,"0,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
37,PARTIDO HUMANISTA,,0.0,"0,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
38,17. JUAN DEL KARANO MARQUEZ BORQUEZ,IND-PH,0.0,"0,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
42,AR.APRUEBO DIGNIDAD,,5.0,"12,20%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
44,CONVERGENCIA SOCIAL,,5.0,"12,20%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
